#id RA DEC X Y F115W F115W_err F150W F150W_err F200W F200W_err F277W F277W_err F356W F356W_err F410M F410M_err F444W F444W_err
83 215.0206182 52.9766718 6602.5439 4252.3569 0.0 0.0 27.1597 0.1016 0.0 0.0 27.6381 0.1183 26.8343 0.0789 0.0 0.0 27.3452 0.0903
84 215.0250437 52.9794801 7053.269 4277.8608 0.0 0.0 0.0 0.0 28.603 0.1333 28.2962 0.0926 27.473 0.0666 0.0 0.0 27.79 0.1205
85 215.0451143 52.9936802 9227.498 4282.6382 23.4963 0.012 23.4978 0.008 23.406 0.0061 22.3643 0.004 22.7673 0.005 23.1204 0.0104 23.2657 0.0094
86 215.0235012 52.978723 6915.9092 4252.2642 0.0 0.0 27.9349 0.1515 28.2506 0.0802 27.2255 0.0764 27.2719 0.0668 0.0 0.0 26.8405 0.0916
87 215.0502255 52.9977497 9821.4678 4249.5244 27.6356 0.0672 27.4236 0.0587 27.3206 0.0421 25.8147 0.0353 25.7799 0.0242 26.6596 0.0618 26.544 0.0417
88 215.0272949 52.9817345 7356.0337 4228.5747 24.0315 0.0158 23.5064 0.0081 0.0 0.0 0.0 0.0 0.0 0.0 22.046 0.0039 22.0935 0.0032
89 214.9771569 52.9458017 1882.5092 4247.3926 28.5766 0.2005 27.4483 0.1101 28.2635 0.2195 26.4334 0.0393 25.8495 0.0407 26.6868 0.0694 25.6106 0.0391
90 215.0509654 52.9982885 9902.9766 4248.5137 27.6773 0.0723 28.586 0.122 0.0 0.0 26.187 0.0375 25.8327 0.0429 25.8883 0.0566 26.2771 0.0874
91 214.9792042 52.9474494 2122.1155 4233.1543 0.0 0.0 0.0 0.0 0.0 0.0 23.513 0.0058 23.3811 0.0048 23.0647 0.0072 22.9108 0.0063
92 215.0195698 52.9760492 6499.5718 4243.0889 27.863 0.1156 27.0186 0.086 28.0816 0.0875 26.2915 0.0382 26.7904 0.0427 26.6718 0.1029 26.6015 0.0643
93 214.9741922 52.9436568 1556.9979 4249.835 28.5449 0.1377 26.7797 0.0795 28.2721 0.1897 26.7476 0.0456 26.545 0.0377 0.0 0.0 26.8123 0.0734
94 214.9696633 52.9404576 1066.6299 4247.6934 0.0 0.0 0.0 0.0 0.0 0.0 28.074 0.1655 27.9353 0.1848 25.3964 0.0445 26.4096 0.0597
95 214.9724989 52.9426814 1393.3136 4232.4136 25.3875 0.0239 24.4764 0.0118 23.9029 0.0079 22.2729 0.002 22.093 0.0018 22.008 0.0028 21.8989 0.0033
96 215.0308711 52.9840693 7726.0703 4244.2046 0.0 0.0 27.3331 0.1248 27.6625 0.1487 26.5921 0.0848 28.0722 0.0867 26.9375 0.1101 27.7331 0.1725
97 215.0419945 52.9918894 8926.6133 4250.5566 28.4099 0.0963 28.2191 0.0876 28.0868 0.0708 26.6493 0.045 26.6116 0.0379 27.5482 0.1033 27.7675 0.0895
98 214.9718015 52.9424851 1344.1952 4209.7729 22.5642 0.0038 22.4088 0.0036 22.1177 0.0024 20.597 0.0008 20.5451 0.0007 20.5784 0.0013 20.6361 0.0013
99 215.0249886 52.9791643 7022.6709 4298.7046 27.7249 0.0937 26.257 0.0643 27.1714 0.0717 25.2057 0.0242 25.1896 0.0268 25.6633 0.0531 26.2386 0.0648
100 214.9865078 52.9525755 2909.9138 4238.9009 0.0 0.0 29.1314 0.1161 28.9011 0.1588 28.073 0.0857 28.4747 0.1218 26.3939 0.0558 27.0677 0.0775
101 214.9760405 52.9451088 1770.1538 4239.6714 28.2784 0.1369 27.3774 0.0973 28.1817 0.1327 26.4933 0.0384 26.3335 0.0433 27.3426 0.1166 27.055 0.1782
102 215.032117 52.9850391 7868.8999 4237.8506 0.0 0.0 0.0 0.0 0.0 0.0 26.5468 0.0387 26.5799 0.0466 26.9532 0.0856 27.3045 0.0655
103 214.9773221 52.9460628 1913.2578 4236.5889 0.0 0.0 0.0 0.0 27.9349 0.1299 27.3339 0.0708 27.7548 0.0777 0.0 0.0 27.3906 0.2067
104 214.9752454 52.9446107 1689.7251 4234.5151 27.2984 0.0739 26.8433 0.0499 26.5313 0.0555 26.7791 0.0452 26.7024 0.0373 26.8539 0.0775 26.6664 0.0969
105 215.0493042 52.9974609 9753.9766 4221.9644 26.3481 0.0315 26.1109 0.0313 26.0652 0.0213 23.849 0.0065 24.2964 0.0081 23.9578 0.0118 24.0955 0.0119
106 214.9768782 52.9456499 1856.3513 4243.8682 0.0 0.0 0.0 0.0 27.6318 0.133 27.0704 0.0849 26.7785 0.0708 0.0 0.0 25.874 0.0632
107 215.0474318 52.9964029 9574.8926 4201.4673 24.0048 0.0099 23.8075 0.0075 23.6881 0.0054 22.0983 0.0023 22.0422 0.0021 22.0602 0.0036 22.1044 0.0029
108 215.0321063 52.9853785 7898.6123 4211.6982 27.5218 0.0881 26.3364 0.0513 25.5078 0.0227 23.9149 0.0099 23.9406 0.0083 24.0648 0.0227 24.1798 0.0163
